price (high season),Name,Location
74,chamonix-mont blanc,France
74,Dolomiti Superski,Italy
72,Les 3 Vallées – Val Thorens/​Les Menuires/​Méribel/​Courchevel,France
67,"La Plagne, Les Arcs and Peisey-Vallandry",France
82,4 Vallées – Verbier/​La Tzoumaz/​Nendaz/​Veysonnaz/​Thyon,Switzerland
62,Les Portes du Soleil – Morzine/​Avoriaz/​Les Gets/​Châtel/​Morgins/​Champéry,Switzerland
50.5,Via Lattea – Sestriere/​Sauze d’Oulx/​San Sicario/​Claviere/​Montgenèvre,Italy
58,Alpe d'Huez,France
50.4,Les Sybelles – Le Corbier/​La Toussuire/​Les Bottières/​St Colomban des Villards/​St Sorlin/​St Jean d’Arves,France
50.9,Le Grand Massif – Flaine/​Les Carroz/​Morillon/​Samoëns/​Sixt,France
63,Tignes/​Val d'Isère,France
56,Les 2 Alpes,France
57,La Plagne (Paradiski),France
100,Zermatt/​Breuil-Cervinia/​Valtournenche – Matterhorn,Switzerland
54,Serre Chevalier – Briançon/​Chantemerle/​Villeneuve-la-Salle/​Le Monêtier-les-Bains,France
55,Megève/​Saint-Gervais,France
59,Les Arcs/​Peisey-Vallandry (Paradiski),France
67,St. Anton/​St. Christoph/​Stuben/​Lech/​Zürs/​Warth/​Schröcken – Ski Arlberg,Austria
50,Alagna Valsesia/​Gressoney-La-Trinité/​Champoluc/​Frachey (Monterosa Ski),Italy
67,Ischgl/​Samnaun – Silvretta Arena,Austria
66,Saalbach Hinterglemm Leogang Fieberbrunn (Skicircus),Austria
60,SkiWelt Wilder Kaiser-Brixental,Austria
61,Serfaus-Fiss-Ladis,Austria
43,Vars/​Risoul – La Forêt Blanche,France
46.2,Galibier Thabor – Valmeinier/​Valloire,France
45,Espace Diamant – Les Saisies/​Notre-Dame-de-Bellecombe/​Praz sur Arly/​Flumet/​Crest-Voland,France
65,Zillertal Arena – Zell am Ziller/​Gerlos/​Königsleiten/​Hochkrimml,Austria
52,Espace San Bernardo – La Rosière/​La Thuile,France
84,Arosa Lenzerheide,Switzerland
43,Val Cenis – Lanslevillard/​Lanslebourg/​Termignon,France
90,Laax/​Flims/​Falera,Switzerland
69.5,Sölden,Austria
65,Mayrhofen – Penken/​Ahorn/​Rastkogel/​Eggalm,Austria
43.5,Espace Lumière – Pra Loup/​Val d’Allos,France
48.5,Le Grand Domaine – Valmorel/​Doucy/​Celliers/​St François Longchamp,France
47,La Clusaz/​Manigod,France
42,Rosa Khutor,Southern Russia
54,Silvretta Montafon,Austria
40,Bardonecchia,Italy
37,Mondolè Ski – Artesina/​Frabosa Soprana/​Prato Nevoso,Italy
69,Madonna di Campiglio/​Pinzolo/​Folgàrida/​Marilleva,Italy
56,Grandvalira – Pas de la Casa/​Grau Roig/​Soldeu/​El Tarter/​Canillo/​Encamp,Andorra
65,KitzSki – Kitzbühel/​Kirchberg,Austria
44.4,Les Contamines/​Hauteluce,France
56,Ponte di Legno/​Tonale/​Presena Glacier/​Temù (Pontedilegno-Tonale),Italy
39,Les 7 Laux – Prapoutel/​Le Pleynet/​Pipay,France
62,Cortina d'Ampezzo,Italy
74,Val Gardena (Gröden),Italy
41,Espace Villard Corrençon – Villard-de-Lans/​Corrençon-en-Vercors,France
38,Auron (Saint-Etienne-de-Tinée),France
59,Baqueira/​Beret,Spain
40,Les Orres,France
40,Bansko,Bulgaria
56.5,Nassfeld – Hermagor,Austria
4,Sarıkamış,Turkey
34,La Norma,France
77,St. Moritz – Corviglia,Switzerland
47,Grand Tourmalet/​Pic du Midi – La Mongie/​Barèges,France
51,La Molina/​Masella – Alp2500,Spain
62,Alta Badia,Italy
37.5,Puy-Saint-Vincent,France
38,Isola 2000,France
39.5,Dévoluy – Superdévoluy/​La Joue du Loup,France
77,Parsenn (Davos Klosters),Switzerland
18,Gudauri,Georgia
34,Valfréjus,France
28,Lauchernalp – Lötschental,Switzerland
77,Corvatsch/​Furtschellas,Switzerland
54,Sierra Nevada – Pradollano,Spain
68,Schladming – Planai/​​Hochwurzen/​​Hauser Kaibling/​​Reiteralm (4-Berge-Skischaukel),Austria
65.5,Kaltenbach – Hochzillertal/​Hochfügen (SKi-optimal),Austria
67,Grimentz/​Zinal,Switzerland
69,Kronplatz (Plan de Corones),Italy
41.9,Le Grand Bornand,France
79,Saas-Fee,Switzerland
