ID,Name,Country,Notes
54887871,Chrea,Algeria,Forecast Only
999002,Arcalis,Andorra,
999001,Arinsal,Andorra,
54883897,Canillo,Andorra,Forecast Only
54883836,Encamp,Andorra,Forecast Only
54883593,Grandvalira,Andorra,
54883898,Grau Roig,Andorra,Forecast Only
54883724,La Massana,Andorra,Forecast Only
999004,Pal,Andorra,
999003,Pas de la Casa,Andorra,
999005,Soldeu-el Tarter,Andorra,
54884005,Vallnord,Andorra,
54884007,Vallnord Pal - Arinsal,Andorra,Forecast Only
119001,Catedral Alta Patagonia,Argentina,Forecast Only
110,Cerro Bayo,Argentina,Forecast Only
54884003,Cerro Castor,Argentina,Forecast Only
54887873,Cerro Catedral,Argentina,Forecast Only
460003,Chapelco,Argentina,Forecast Only
113004,La Hoya,Argentina,Forecast Only
121005,Las Lenas,Argentina,Forecast Only
54887875,Los Penitentes,Argentina,Forecast Only
54887877,Parque Caviahue,Argentina,Forecast Only
54887879,Perito Moreno,Argentina,Forecast Only
54887881,Vall de Chall - Huaco,Argentina,Forecast Only
54887883,Vallecitos,Argentina,Forecast Only
54887885,Wolfgang Wallner,Argentina,Forecast Only
54887887,Tsakhkadzor,Armenia,Forecast Only
54887889,Ben Lomond,Australia,Forecast Only
555196,Charlotte Pass,Australia,Forecast Only
54883416,Dinner Plain,Australia,Forecast Only
358003,Falls Creek,Australia,Forecast Only
112,Mt Baw Baw,Australia,Forecast Only
551500,Mt Buffalo,Australia,Forecast Only
7776052,Mt Buller,Australia,Forecast Only
593522,Mt Hotham,Australia,Forecast Only
421002,Perisher/Blue Ski Resort,Australia,Forecast Only
549488,Selwyn Snowfields,Australia,Forecast Only
100001,Thredbo Alpine Village,Australia,Forecast Only
54884009,Abtenau,Austria,Forecast Only
54884011,Achenkirch,Austria,Forecast Only
54884013,Aflenz Kurort,Austria,Forecast Only
54884015,Afritz,Austria,Forecast Only
54884017,Alberschwende,Austria,Forecast Only
222038,Alpbach,Austria,
54884019,Alpenarena Hochhaderich,Austria,Forecast Only
54883843,Alpendorf / St Johann i. Po,Austria,Forecast Only
54884021,Alpl - Waldheimat,Austria,Forecast Only
54884023,Altausee,Austria,Forecast Only
222001,Altenmarkt,Austria,
54884025,Altmunster,Austria,Forecast Only
54884027,Andelsbuch,Austria,Forecast Only
54884029,Angerberg / Worgl,Austria,Forecast Only
54883565,Annaberg,Austria,
54884031,Annerlbauer,Austria,Forecast Only
54884033,Au - Schoppernau,Austria,Forecast Only
54883671,Auffach,Austria,
54884035,Aurach,Austria,Forecast Only
54883568,Axamer Lizum,Austria,
54884037,Baad,Austria,Forecast Only
54884039,Bach,Austria,Forecast Only
222043,Bad Gastein,Austria,
54884041,Bad Goisern,Austria,Forecast Only
54884043,Bad Grosspertholz,Austria,Forecast Only
222025,Bad Hofgastein,Austria,
54884045,Bad Ischl,Austria,Forecast Only
222002,Bad Kleinkerchheim,Austria,
54884047,Bad Leonfelden,Austria,Forecast Only
54884049,Bad Mitterndorf,Austria,Forecast Only
54884051,Barenalm,Austria,Forecast Only
54884053,Baumgartnerhohe,Austria,Forecast Only
54884055,Berg im Drautal,Austria,Forecast Only
54883454,Berwang,Austria,
54884057,Bezau,Austria,Forecast Only
54884059,Biberwier,Austria,Forecast Only
54884061,Bichlbach,Austria,Forecast Only
54884063,Birgitz,Austria,Forecast Only
54887891,Bludenz,Austria,Forecast Only
54884065,Boden - Bschlabs,Austria,Forecast Only
54884067,Bodental,Austria,Forecast Only
54883368,Brand,Austria,
